 Yr   Jd Hour Temp Vel Dir Cat z0 u* H0 zi
 2005 224 00 12.3 0.3 0. -99 0.05 0.020 -130.2 150.0
 2005 224 01 13.4 0.9 0. -99 0.05 0.031   -97.1 150.0
 2005 224 02 12.5 1.2 0. -99 0.05 0.032   -97.1 150.0
 2005 224 03 13.6 1.3 0. -99 0.05 0.033 -107.1 150.0
 2005 224 04 12.7 1.6 0. -99 0.05 0.034   -97.1 150.0
 2005 224 05 13.8 2.7 0. -99 0.05 0.045 -111.1 150.0
 2005 224 06 12.9 4.9 0. -99 0.05 0.181   -97.1 150.0
 2005 224 07 13.0 1.6 0. -99 0.05 0.072    13.1 103.1
 2005 224 08 12.1 1.5 0. -99 0.05 0.039    53.1 103.0
 2005 224 09 13.2 1.3 0. -99 0.05 0.038    74.1 150.0
 2005 224 10 12.3 1.3 0. -99 0.05 0.037  113.1 250.0
 2005 224 11 13.4 1.7 0. -99 0.05 0.036  207.1 378.0
 2005 224 12 12.5 1.9 0. -99 0.05 0.035  221.1 690.0
 2005 224 13 13.6 2.1 0. -99 0.05 0.034  214.1 720.0
 2005 224 14 12.7 2.3 0. -99 0.05 0.033  202.1 725.0
 2005 224 15 13.8 1.2 0. -99 0.05 0.032  183.1 726.0
 2005 224 16 12.9 0.8 0. -99 0.05 0.031  160.1 724.0
 2005 224 17 13.0 0.8 0. -99 0.05 0.030  121.1 731.0
 2005 224 18 12.1 0.8 0. -99 0.05 0.031    47.1 740.0
 2005 224 19 13.2 0.7 0. -99 0.05 0.032   -61.1 140.0
 2005 224 20 12.3 0.7 0. -99 0.05 0.033   -97.1 150.0
 2005 224 21 13.4 0.7 0. -99 0.05 0.034   -97.1 150.0
 2005 224 22 12.5 0.6 0. -99 0.05 0.035   -97.1 150.0
 2005 224 23 13.6 0.3 0. -99 0.05 0.036   -97.1 150.0
