Index, Value, PeakType, Avg.Filter, Std.Filter
   1,   0.1279, 0,   0.0000,   0.0000
   2,   3.7382, 0,   0.0000,   0.0000
   3,  21.4615, 0,   0.0000,   0.0000
   4,   1.5596, 0,   0.0000,   0.0000
   5,   0.4044, 0,   0.0000,   0.0000
   6,   0.5179, 0,   0.0000,   0.0000
   7,   1.1690, 0,   0.0000,   0.0000
   8,   0.2049, 0,   0.0000,   0.0000
   9,   0.2604, 0,   0.0000,   0.0000
  10, 154.6146, 0,   0.0000,   0.0000
  11,   0.2789, 0,  16.7579,  43.9995
  12,   0.2958, 0,  16.7732,  43.9938
  13,  16.3918, 0,  17.9235,  43.8029
  14,  15.7067, 0,  17.4004,  43.7919
  15,   5.0582, 0,  17.7184,  43.6883
  16,   3.3634, 0,  17.9874,  43.5899
  17,   0.0183, 0,  17.9420,  43.6083
  18,   1.2991, 0,  17.9538,  43.6038
  19,   0.4097, 0,  17.9724,  43.5962
  20,   5.1123, 0,  18.4135,  43.4391
  21,   0.5998, 0,   4.4122,   5.7735
  22,   0.9521, 0,   4.4734,   5.7328
  23,   5.8451, 0,   4.9779,   5.5852
  24,   0.0516, 0,   3.4924,   4.3990
  25,   0.1680, 0,   2.0798,   2.1903
  26,   0.5288, 0,   1.6680,   2.0100
  27,  15.9194, 0,   2.8095,   4.5760
  28,   0.4660, 0,   2.8502,   4.5529
  29,   0.9212, 0,   2.8158,   4.5659
  30,   1.2741, 0,   2.8944,   4.5311
  31,  12.1668, 0,   3.5357,   5.2430
  32,   5.6172, 0,   3.9919,   5.1857
  33,   4.5320, 0,   4.3173,   5.0962
  34,   0.9472, 0,   3.8720,   5.1569
  35,   3.5351, 0,   4.1887,   5.0177
  36,  11.2898, 0,   5.1998,   5.2220
  37,   1.4617, 0,   5.2846,   5.1525
  38,   6.7074, 0,   4.4471,   3.9686
  39,   7.1450, 0,   5.0543,   3.8212
  40,   2.1747, 0,   5.1683,   3.7134
  41,  13.1277, 0,   6.2459,   4.1242
  42,  38.3476, 0,   8.6259,  10.0916
  43,   0.2023, 0,   8.1337,  10.3550
  44,   1.4258, 0,   7.8513,  10.4908
  45,  15.8105, 0,   9.2025,  10.4718
  46,  30.0916, 0,  11.6167,  11.8565
  47,   4.7504, 0,  11.0222,  12.0208
  48,   0.3961, 0,  10.9254,  12.1015
  49,   5.9026, 0,  10.8522,  12.1292
  50,   1.5678, 0,  10.3452,  12.3874
  51,  21.3368, 0,  12.0872,  12.4630
  52,   2.8297, 0,  11.1510,  12.7336
  53,   0.6409, 0,   7.7231,   9.6537
  54,  23.8389, 0,   9.8719,  10.3463
  55, 619.4042, 1,  17.3237,  23.1616
  56,   1.0408, 0,  15.9810,  23.6337
  57,   2.5737, 0,  13.4794,  23.4634
  58,   0.4712, 0,  13.0904,  23.6398
  59,   0.9709, 0,  13.1426,  23.6123
  60,  16.3653, 0,  14.0938,  23.5120
  61,   0.1905, 0,  13.9685,  23.5819
  62,  70.8564, 0,  18.4703,  28.7247
  63,   0.1142, 0,  18.2235,  28.8693
  64,   0.0682, 0,  18.1714,  28.9015
  65,   0.7603, 0,  16.0734,  29.2495
  66,   0.4896, 0,   8.5365,  20.2184
  67,   1.2377, 0,   8.5544,  20.2118
  68,   0.3062, 0,   8.3482,  20.2832
  69,   5.7371, 0,   8.8269,  20.1534
  70,  30.6751, 0,  11.5273,  20.8962
  71,   0.0588, 0,  10.0449,  21.0780
  72,   0.2555, 0,  10.0508,  21.0752
  73,  20.6294, 0,   5.4847,   9.8677
  74,   7.6352, 0,   6.1685,   9.7315
  75,   1.9790, 0,   6.3422,   9.6376
  76,   0.6818, 0,   6.3350,   9.6418
  77,   5.1903, 0,   6.7624,   9.4760
  78,   1.1179, 0,   6.7515,   9.4824
  79,   5.7181, 0,   7.2435,   9.2733
  80,   0.0677, 0,   6.7281,   9.4975
  81,   1.2548, 0,   4.0535,   5.8000
  82, 536.7103, 1,   9.0300,  15.5415
  83,   0.5220, 0,   9.0542,  15.5280
  84,  11.8134, 0,   8.2528,  15.1323
  85,   1.6993, 0,   7.7132,  15.2501
  86,   0.4838, 0,   7.5772,  15.3072
  87,   0.4799, 0,   7.5589,  15.3155
  88,   0.3302, 0,   7.1170,  15.4470
  89,   1.0123, 0,   7.1075,  15.4508
  90,   4.2312, 0,   6.9723,  15.4689
  91,   1.8610, 0,   7.1353,  15.4045
  92,   3.6153, 0,   7.3499,  15.3374
  93,   0.0355, 0,   2.3713,   3.2600
  94,   0.0636, 0,   2.3296,   3.2862
  95,   3.2397, 0,   1.5502,   1.4457
  96,   5.4076, 0,   1.8873,   1.8240
  97,   0.0752, 0,   1.8501,   1.8561
  98,   1.2549, 0,   1.9206,   1.8171
  99,   0.8203, 0,   1.9652,   1.7832
 100,   0.3578, 0,   1.9057,   1.8245
 101,   0.0415, 0,   1.5248,   1.7343
 102,  31.1800, 1,   1.6424,   1.7960
 103,   0.0880, 0,   1.3218,   1.7287
 104,  24.2790, 1,   1.5465,   1.7074
 105,   0.6931, 0,   1.6037,   1.6668
 106,   1.2689, 0,   1.4245,   1.5853
 107,  13.5447, 0,   2.1643,   3.7253
 108,   0.0055, 0,   2.1579,   3.7289
 109, 117.3633, 1,   3.1112,   4.6121
 110,   0.1074, 0,   3.0464,   4.6487
 111,   0.0158, 0,   3.0153,   4.6676
 112,  37.9460, 0,   6.4612,  10.9559
 113,   3.4427, 0,   6.4873,  10.9483
 114,   0.7603, 0,   6.5484,  10.9143
 115,  12.4679, 0,   7.4540,  10.9545
 116,   6.2654, 0,   7.9605,  10.7572
 117,   0.3591, 0,   7.8778,  10.8117
 118,  28.0723, 0,   9.1985,  12.2190
 119,   7.0656, 0,   9.8403,  11.9005
 120,  77.3436, 0,  15.8042,  22.8029
 121,  24.0681, 0,  17.9824,  22.3391
 122,   9.8006, 0,  18.8720,  21.7941
 123,   7.0846, 0,  16.0664,  21.1346
 124,   0.6173, 0,  15.8095,  21.3029
 125,   6.0908, 0,  16.2941,  21.0137
 126,   0.7837, 0,  15.2319,  21.4706
 127,   0.7512, 0,  14.7306,  21.7369
