Index, Value, PeakType, Avg.Filter, Std.Filter
   1,   0.1279, 0,   0.0000,   0.0000
   2,   3.7382, 0,   0.0000,   0.0000
   3,  21.4615, 0,   0.0000,   0.0000
   4,   1.5596, 0,   0.0000,   0.0000
   5,   0.4044, 0,   0.0000,   0.0000
   6,   0.5179, 0,   0.0000,   0.0000
   7,   1.1690, 0,   0.0000,   0.0000
   8,   0.2049, 0,   0.0000,   0.0000
   9,   0.2604, 0,   0.0000,   0.0000
  10, 154.6146, 0,   0.0000,   0.0000
  11,   0.2789, 0,  16.7579,  43.9995
  12,   0.2958, 0,  16.7732,  43.9938
  13,  16.3918, 0,  17.9235,  43.8029
  14,  15.7067, 0,  17.4004,  43.7919
  15,   5.0582, 0,  17.7184,  43.6883
  16,   3.3634, 0,  17.9874,  43.5899
  17,   0.0183, 0,  17.9420,  43.6083
  18,   1.2991, 0,  17.9538,  43.6038
  19,   0.4097, 0,  17.9724,  43.5962
  20,   5.1123, 0,  18.4135,  43.4391
  21,   0.5998, 0,   4.4122,   5.7735
  22,   0.9521, 0,   4.4734,   5.7328
  23,   5.8451, 0,   4.9779,   5.5852
  24,   0.0516, 0,   3.4924,   4.3990
  25,   0.1680, 0,   2.0798,   2.1903
  26,   0.5288, 0,   1.6680,   2.0100
  27,  15.9194, 1,   1.4103,   1.9571
  28,   0.4660, 0,   1.4510,   1.9323
  29,   0.9212, 0,   1.4167,   1.9380
  30,   1.2741, 0,   1.4952,   1.9129
  31,  12.1668, 1,   1.1463,   1.5339
  32,   5.6172, 0,   1.6025,   1.9836
  33,   4.5320, 0,   1.9279,   2.1379
  34,   0.9472, 0,   1.4826,   1.7506
  35,   3.5351, 0,   1.7993,   1.7780
  36,  11.2898, 1,   2.1054,   1.7605
  37,   1.4617, 0,   2.1902,   1.7041
  38,   6.7074, 0,   2.7519,   2.0476
  39,   7.1450, 0,   3.3591,   2.2590
  40,   2.1747, 0,   3.4731,   2.1628
  41,  13.1277, 1,   3.5549,   2.0939
  42,  38.3476, 1,   3.6368,   2.0194
  43,   0.2023, 0,   3.1445,   2.1334
  44,   1.4258, 0,   2.8621,   2.1367
  45,  15.8105, 1,   2.9057,   2.1018
  46,  30.0916, 1,   2.7139,   2.1316
  47,   4.7504, 0,   2.8244,   2.2017
  48,   0.3961, 0,   2.7275,   2.2815
  49,   5.9026, 0,   2.6544,   2.1625
  50,   1.5678, 0,   2.1473,   1.6412
  51,  21.3368, 1,   2.0922,   1.6495
  52,   2.8297, 0,   2.1517,   1.6632
  53,   0.6409, 0,   2.0123,   1.7188
  54,  23.8389, 1,   2.0522,   1.6810
  55, 619.4042, 1,   1.9808,   1.7222
  56,   1.0408, 0,   1.9458,   1.7370
  57,   2.5737, 0,   2.0502,   1.7371
  58,   0.4712, 0,   1.6611,   1.5588
  59,   0.9709, 0,   1.7134,   1.5248
  60,  16.3653, 1,   1.2651,   0.7607
  61,   0.1905, 0,   1.1398,   0.8122
  62,  70.8564, 1,   1.0146,   0.8422
  63,   0.1142, 0,   0.7678,   0.6500
  64,   0.0682, 0,   0.7157,   0.6804
  65,   0.7603, 0,   0.7266,   0.6800
  66,   0.4896, 0,   0.7128,   0.6831
  67,   1.2377, 0,   0.7307,   0.6940
  68,   0.3062, 0,   0.5246,   0.3831
  69,   5.7371, 1,   0.5096,   0.3881
  70,  30.6751, 1,   0.4491,   0.3624
  71,   0.0588, 0,   0.3662,   0.3370
  72,   0.2555, 0,   0.3721,   0.3344
  73,  20.6294, 1,   0.3780,   0.3318
  74,   7.6352, 1,   0.3909,   0.3239
  75,   1.9790, 1,   0.4079,   0.3112
  76,   0.6818, 0,   0.4008,   0.3039
  77,   5.1903, 1,   0.4182,   0.3138
  78,   1.1179, 0,   0.4073,   0.2860
  79,   5.7181, 1,   0.4811,   0.3483
  80,   0.0677, 0,   0.4595,   0.3655
  81,   1.2548, 0,   0.5457,   0.4261
  82, 536.7103, 1,   0.6544,   0.4403
  83,   0.5220, 0,   0.6787,   0.4248
  84,  11.8134, 1,   0.7029,   0.4072
  85,   1.6993, 0,   0.8341,   0.4697
  86,   0.4838, 0,   0.8549,   0.4482
  87,   0.4799, 0,   0.8365,   0.4589
  88,   0.3302, 0,   0.8046,   0.4804
  89,   1.0123, 0,   0.7950,   0.4750
  90,   4.2312, 1,   0.7854,   0.4694
  91,   1.8610, 0,   0.9484,   0.5022
  92,   3.6153, 1,   1.0035,   0.5624
  93,   0.0355, 0,   0.8927,   0.6192
  94,   0.0636, 0,   0.8510,   0.6571
  95,   3.2397, 1,   0.8093,   0.6903
  96,   5.4076, 1,   0.6606,   0.6580
  97,   0.0752, 0,   0.6235,   0.6782
  98,   1.2549, 0,   0.6939,   0.6995
  99,   0.8203, 0,   0.7385,   0.6905
 100,   0.3578, 0,   0.6790,   0.6925
 101,   0.0415, 0,   0.5907,   0.7061
 102,  31.1800, 1,   0.4253,   0.5933
 103,   0.0880, 0,   0.2641,   0.3860
 104,  24.2790, 1,   0.2689,   0.3834
 105,   0.6931, 0,   0.3261,   0.3953
 106,   1.2689, 0,   0.4357,   0.4678
 107,  13.5447, 1,   0.5453,   0.5073
 108,   0.0055, 0,   0.5389,   0.5135
 109, 117.3633, 1,   0.4254,   0.4796
 110,   0.1074, 0,   0.3605,   0.4699
 111,   0.0158, 0,   0.3295,   0.4803
 112,  37.9460, 1,   0.3271,   0.4818
 113,   3.4427, 1,   0.3248,   0.4832
 114,   0.7603, 0,   0.3859,   0.4918
 115,  12.4679, 1,   0.4470,   0.4928
 116,   6.2654, 1,   0.4532,   0.4962
 117,   0.3591, 0,   0.3704,   0.4239
 118,  28.0723, 1,   0.2877,   0.3154
 119,   7.0656, 1,   0.3199,   0.3027
 120,  77.3436, 1,   0.3520,   0.2859
 121,  24.0681, 1,   0.3749,   0.2753
 122,   9.8006, 1,   0.4061,   0.2512
 123,   7.0846, 1,   0.4373,   0.2202
 124,   0.6173, 0,   0.4920,   0.1797
 125,   6.0908, 1,   0.4790,   0.1644
 126,   0.7837, 0,   0.4811,   0.1681
 127,   0.7512, 0,   0.4803,   0.1667
