Threshold, Num.Negative.Peaks, Num.Positive.Peaks
 0.1, 671, 337
 0.2, 626, 381
 0.3, 707, 301
 0.4, 703, 301
 0.5, 700, 301
 0.6, 699, 301
 0.7, 663, 336
 0.8, 663, 336
 0.9, 379, 615
 1.0, 379, 615
 1.1, 379, 615
 1.2, 379, 615
 1.3, 379, 615
 1.4, 379, 615
 1.5, 379, 615
 1.6, 379, 615
 1.7, 379, 615
 1.8, 457, 535
 1.9, 457, 535
 2.0, 457, 535
 2.1, 457, 535
 2.2, 181, 786
 2.3, 323, 637
 2.4,  52, 871
 2.5,  52, 869
 2.6,  52, 869
 2.7,  52, 869
 2.8,  52, 869
 2.9,  52, 866
 3.0,  52, 861
 3.1,  52, 861
 3.2,  52, 861
 3.3,  52, 861
 3.4,  52, 861
 3.5,  52, 860
 3.6,  52, 860
 3.7,  52, 859
 3.8, 146, 615
 3.9, 146, 612
 4.0, 146, 611
 4.1, 146, 610
 4.2, 146, 604
 4.3, 146, 604
 4.4, 146, 603
 4.5, 146, 576
 4.6, 146, 575
 4.7, 146, 566
 4.8, 146, 566
 4.9,   0, 220
 5.0,   0, 215
 5.1,   0, 213
 5.2,   0, 203
 5.3,   0, 200
 5.4,   0, 195
 5.5,   0, 167
 5.6,   0, 161
 5.7,   0, 160
 5.8,   0, 157
 5.9,   0, 151
 6.0,   0, 149
 6.1,   0, 147
 6.2,   0, 147
 6.3,   0, 146
 6.4,   0, 144
 6.5,   0, 109
 6.6,   0, 108
 6.7,   0, 108
 6.8,   0, 108
 6.9,   0, 108
 7.0,   0, 108
 7.1,   0, 106
 7.2,   0, 102
 7.3,   0, 102
 7.4,   0,  99
 7.5,   0,  99
 7.6,   0,  96
 7.7,   0,  96
 7.8,   0,  93
 7.9,   0,  83
 8.0,   0,  82
 8.1,   0,  81
 8.2,   0,  81
 8.3,   0,  81
 8.4,   0,  80
 8.5,   0,  77
 8.6,   0,  75
 8.7,   0,  75
 8.8,   0,  75
 8.9,   0,  74
 9.0,   0,  74
 9.1,   0,  69
 9.2,   0,  66
 9.3,   0,  66
 9.4,   0,  66
 9.5,   0,  65
 9.6,   0,  58
 9.7,   0,  58
 9.8,   0,  58
 9.9,   0,  58
10.0,   0,  53
10.1,   0,  48
10.2,   0,  47
10.3,   0,  46
10.4,   0,  41
10.5,   0,  40
10.6,   0,  40
10.7,   0,  40
10.8,   0,  39
