Threshold, Num.Negative.Peaks, Num.Positive.Peaks
 0.1, 814, 190
 0.2, 806, 194
 0.3, 787, 195
 0.4, 773, 195
 0.5, 718, 199
 0.6, 686, 202
 0.7, 643, 218
 0.8, 559, 232
 0.9, 510, 232
 1.0, 431, 251
 1.1, 328, 266
 1.2, 221, 277
 1.3, 199, 265
 1.4, 181, 263
 1.5, 165, 256
 1.6,  91, 252
 1.7,  31, 258
 1.8,  26, 251
 1.9,  24, 242
 2.0,  23, 237
 2.1,  12, 234
 2.2,   7, 224
 2.3,   7, 219
 2.4,   7, 216
 2.5,   7, 208
 2.6,   7, 202
 2.7,   0, 189
 2.8,   0, 186
 2.9,   0, 175
 3.0,   0, 169
 3.1,   0, 165
 3.2,   0, 163
 3.3,   0, 161
 3.4,   0, 152
 3.5,   0, 148
 3.6,   0, 146
 3.7,   0, 140
 3.8,   0, 136
 3.9,   0, 133
 4.0,   0, 132
 4.1,   0, 129
 4.2,   0, 125
 4.3,   0, 121
 4.4,   0, 118
 4.5,   0, 115
 4.6,   0,  95
 4.7,   0,  95
 4.8,   0,  95
 4.9,   0,  93
 5.0,   0,  89
 5.1,   0,  88
 5.2,   0,  88
 5.3,   0,  83
 5.4,   0,  79
 5.5,   0,  77
 5.6,   0,  70
 5.7,   0,  68
 5.8,   0,  67
 5.9,   0,  66
 6.0,   0,  63
 6.1,   0,  63
 6.2,   0,  61
 6.3,   0,  60
 6.4,   0,  60
 6.5,   0,  60
 6.6,   0,  60
 6.7,   0,  60
 6.8,   0,  60
 6.9,   0,  58
 7.0,   0,  58
 7.1,   0,  57
 7.2,   0,  57
 7.3,   0,  57
 7.4,   0,  56
 7.5,   0,  56
 7.6,   0,  56
 7.7,   0,  53
 7.8,   0,  52
 7.9,   0,  51
 8.0,   0,  50
 8.1,   0,  50
 8.2,   0,  49
 8.3,   0,  49
 8.4,   0,  46
 8.5,   0,  46
 8.6,   0,  43
 8.7,   0,  42
 8.8,   0,  42
 8.9,   0,  42
 9.0,   0,  42
 9.1,   0,  42
 9.2,   0,  41
 9.3,   0,  41
 9.4,   0,  41
 9.5,   0,  41
 9.6,   0,  41
 9.7,   0,  41
 9.8,   0,  41
 9.9,   0,  41
10.0,   0,  41
10.1,   0,  38
10.2,   0,  38
10.3,   0,  38
10.4,   0,  36
10.5,   0,  35
10.6,   0,  35
10.7,   0,  35
10.8,   0,  34
10.9,   0,  34
11.0,   0,  34
11.1,   0,  34
11.2,   0,  34
11.3,   0,  33
11.4,   0,  33
11.5,   0,  33
11.6,   0,  33
11.7,   0,  33
11.8,   0,  32
11.9,   0,  31
12.0,   0,  31
12.1,   0,  31
12.2,   0,  29
12.3,   0,  29
12.4,   0,  28
12.5,   0,  27
12.6,   0,  26
12.7,   0,  26
12.8,   0,  26
12.9,   0,  26
13.0,   0,  26
13.1,   0,  26
13.2,   0,  26
13.3,   0,  25
13.4,   0,  25
13.5,   0,  25
13.6,   0,  25
13.7,   0,  25
13.8,   0,  25
13.9,   0,  25
14.0,   0,  25
14.1,   0,  25
14.2,   0,  25
14.3,   0,  25
14.4,   0,  25
14.5,   0,  25
14.6,   0,  25
14.7,   0,  25
14.8,   0,  24
14.9,   0,  24
15.0,   0,  24
15.1,   0,  24
15.2,   0,  24
15.3,   0,  24
15.4,   0,  23
15.5,   0,  23
15.6,   0,  22
15.7,   0,  22
15.8,   0,  22
15.9,   0,  22
16.0,   0,  22
16.1,   0,  22
16.2,   0,  22
16.3,   0,  22
16.4,   0,  22
16.5,   0,  22
16.6,   0,  22
16.7,   0,  22
16.8,   0,  22
16.9,   0,  21
17.0,   0,  21
17.1,   0,  20
17.2,   0,  20
17.3,   0,  20
17.4,   0,  20
17.5,   0,  20
17.6,   0,  19
17.7,   0,  19
17.8,   0,  19
17.9,   0,  19
18.0,   0,  19
18.1,   0,  19
18.2,   0,  19
18.3,   0,  19
18.4,   0,  19
18.5,   0,  19
18.6,   0,  18
18.7,   0,  18
18.8,   0,  18
18.9,   0,  18
19.0,   0,  18
19.1,   0,  18
19.2,   0,  18
19.3,   0,  18
19.4,   0,  18
19.5,   0,  18
19.6,   0,  18
19.7,   0,  18
19.8,   0,  18
19.9,   0,  18
20.0,   0,  18
20.1,   0,  18
20.2,   0,  18
20.3,   0,  18
20.4,   0,  18
20.5,   0,  18
20.6,   0,  17
20.7,   0,  17
20.8,   0,  17
20.9,   0,  17
21.0,   0,  17
21.1,   0,  17
21.2,   0,  17
21.3,   0,  17
21.4,   0,  17
21.5,   0,  17
21.6,   0,  17
21.7,   0,  17
21.8,   0,  17
21.9,   0,  17
22.0,   0,  17
22.1,   0,  17
22.2,   0,  16
22.3,   0,  16
22.4,   0,  16
22.5,   0,  16
22.6,   0,  16
22.7,   0,  16
22.8,   0,  16
22.9,   0,  16
23.0,   0,  16
23.1,   0,  16
23.2,   0,  16
23.3,   0,  16
23.4,   0,  16
23.5,   0,  16
23.6,   0,  16
23.7,   0,  16
23.8,   0,  16
23.9,   0,  16
24.0,   0,  16
24.1,   0,  16
24.2,   0,  16
24.3,   0,  16
24.4,   0,  16
24.5,   0,  16
24.6,   0,  16
24.7,   0,  16
24.8,   0,  16
24.9,   0,  16
25.0,   0,  15
25.1,   0,  14
25.2,   0,  14
25.3,   0,  14
25.4,   0,  14
25.5,   0,  14
25.6,   0,  14
25.7,   0,  14
25.8,   0,  14
25.9,   0,  14
26.0,   0,  14
26.1,   0,  14
26.2,   0,  14
26.3,   0,  14
26.4,   0,  14
26.5,   0,  14
26.6,   0,  14
26.7,   0,  14
26.8,   0,  14
26.9,   0,  14
27.0,   0,  14
27.1,   0,  14
27.2,   0,  14
27.3,   0,  14
27.4,   0,  14
27.5,   0,  14
27.6,   0,  14
27.7,   0,  14
27.8,   0,  14
27.9,   0,  14
28.0,   0,  14
28.1,   0,  14
28.2,   0,  14
28.3,   0,  14
28.4,   0,  14
28.5,   0,  14
28.6,   0,  14
28.7,   0,  14
28.8,   0,  14
28.9,   0,  14
29.0,   0,  14
29.1,   0,  14
29.2,   0,  14
29.3,   0,  14
29.4,   0,  13
29.5,   0,  13
29.6,   0,  13
29.7,   0,  13
29.8,   0,  13
29.9,   0,  13
30.0,   0,  13
30.1,   0,  13
30.2,   0,  13
30.3,   0,  13
30.4,   0,  13
30.5,   0,  13
30.6,   0,  13
30.7,   0,  13
30.8,   0,  13
30.9,   0,  13
31.0,   0,  13
31.1,   0,  13
31.2,   0,  13
31.3,   0,  13
31.4,   0,  13
31.5,   0,  13
31.6,   0,  13
31.7,   0,  13
31.8,   0,  13
31.9,   0,  13
32.0,   0,  13
32.1,   0,  13
32.2,   0,  13
32.3,   0,  13
32.4,   0,  13
32.5,   0,  13
32.6,   0,  13
32.7,   0,  13
32.8,   0,  13
32.9,   0,  13
33.0,   0,  13
33.1,   0,  13
33.2,   0,  13
33.3,   0,  13
33.4,   0,  13
33.5,   0,  13
33.6,   0,  13
33.7,   0,  13
33.8,   0,  13
33.9,   0,  13
34.0,   0,  13
34.1,   0,  13
34.2,   0,  13
34.3,   0,  13
34.4,   0,  13
34.5,   0,  13
34.6,   0,  13
34.7,   0,  13
34.8,   0,  13
34.9,   0,  13
35.0,   0,  13
35.1,   0,  13
35.2,   0,  13
35.3,   0,  13
35.4,   0,  13
35.5,   0,  13
35.6,   0,  13
35.7,   0,  13
35.8,   0,  13
35.9,   0,  13
36.0,   0,  13
36.1,   0,  13
36.2,   0,  13
36.3,   0,  13
36.4,   0,  13
36.5,   0,  13
36.6,   0,  13
36.7,   0,  13
36.8,   0,  13
36.9,   0,  13
37.0,   0,  13
37.1,   0,  13
37.2,   0,  13
37.3,   0,  13
37.4,   0,  13
37.5,   0,  13
37.6,   0,  13
37.7,   0,  13
37.8,   0,  13
37.9,   0,  13
38.0,   0,  13
38.1,   0,  13
38.2,   0,  13
38.3,   0,  13
38.4,   0,  13
38.5,   0,  13
38.6,   0,  13
38.7,   0,  13
38.8,   0,  13
38.9,   0,  13
39.0,   0,  13
39.1,   0,  13
39.2,   0,  13
39.3,   0,  13
39.4,   0,  13
39.5,   0,  13
39.6,   0,  13
39.7,   0,  13
39.8,   0,  13
39.9,   0,  13
40.0,   0,  13
