Time.Stamp, Utv, Umv, Urv, Vtv, Vmv, Vrv, Wtv, Wmv, Wrv, Ttv, Tmv, Trv
2016-01-01 00:00:00,  0.2984475E-01,  0.2571803E-01,  0.4126504E-02,  0.3121837E-01,  0.2755963E-01,  0.3658426E-02,  0.4304748E-02,  0.1711390E-02,  0.2593323E-02,  0.3591927E-01,  0.2890867E-01,  0.7009106E-02
2016-01-01 01:00:00,  0.9093682E-01,  0.8946674E-01,  0.1463874E-02,  0.2135713E-01,  0.1991193E-01,  0.1447041E-02,  0.1949983E-02,  0.1065662E-02,  0.8843811E-03,  0.6324524E-01,  0.6046022E-01,  0.2792482E-02
2016-01-01 02:00:00,  0.7093383E-01,  0.6394341E-01,  0.7000657E-02,  0.3596273E-01,  0.2903684E-01,  0.6927200E-02,  0.5544455E-02,  0.1847661E-02,  0.3696805E-02,  0.4408269E-01,  0.3715594E-01,  0.6922415E-02
2016-01-01 03:00:00,  0.4494593E-01,  0.3843990E-01,  0.6501989E-02,  0.4508270E-01,  0.3776719E-01,  0.7316433E-02,  0.5523302E-02,  0.1641937E-02,  0.3881336E-02,  0.3331198E-01,  0.2675194E-01,  0.6560068E-02
2016-01-01 04:00:00,  0.4814580E-01,  0.4407644E-01,  0.4061767E-02,  0.8365197E-01,  0.8113719E-01,  0.2514939E-02,  0.2509200E-02,  0.7272437E-03,  0.1781969E-02,  0.3861247E-01,  0.3423453E-01,  0.4372807E-02
2016-01-01 05:00:00,  0.6666559E-01,  0.5845944E-01,  0.8214399E-02,  0.3389495E-01,  0.2862182E-01,  0.5274146E-02,  0.3970355E-02,  0.9182239E-03,  0.3052201E-02,  0.3297857E-01,  0.2403745E-01,  0.8946746E-02
2016-01-01 06:00:00,  0.2707849E-01,  0.2358900E-01,  0.3490299E-02,  0.4168624E-01,  0.3922345E-01,  0.2453842E-02,  0.1822239E-02,  0.4297642E-03,  0.1392426E-02,  0.1434837E-01,  0.1077730E-01,  0.3571082E-02
2016-01-01 07:00:00,  0.4700064E-01,  0.4167952E-01,  0.5329364E-02,  0.1235562E-01,  0.9083301E-02,  0.3272052E-02,  0.2864435E-02,  0.6654959E-03,  0.2198837E-02,  0.1348030E-01,  0.1018305E-01,  0.3297738E-02
2016-01-01 08:00:00,  0.1950704E+00,  0.1755495E+00,  0.1953763E-01,  0.4926842E-01,  0.3516134E-01,  0.1411006E-01,  0.1422559E-01,  0.4549949E-02,  0.9675858E-02,  0.2251580E-01,  0.1902694E-01,  0.3489462E-02
2016-01-01 09:00:00,  0.1948621E+00,  0.1551519E+00,  0.3970387E-01,  0.2135589E+00,  0.1736372E+00,  0.3989915E-01,  0.4770944E-01,  0.2321892E-01,  0.2449198E-01,  0.1950082E-01,  0.1286561E-01,  0.6634769E-02
2016-01-01 10:00:00,  0.1738026E+00,  0.1284189E+00,  0.4538042E-01,  0.1294208E+00,  0.8509576E-01,  0.4432477E-01,  0.4187959E-01,  0.1658369E-01,  0.2529663E-01,  0.1907001E-01,  0.1088693E-01,  0.8182786E-02
2016-01-01 11:00:00,  0.2522736E+00,  0.2001034E+00,  0.5217469E-01,  0.1658630E+00,  0.1205648E+00,  0.4529618E-01,  0.5800577E-01,  0.2544578E-01,  0.3255915E-01,  0.3014055E-01,  0.1898360E-01,  0.1115663E-01
2016-01-01 12:00:00,  0.3339328E+00,  0.2805069E+00,  0.5344862E-01,  0.2867400E+00,  0.2308592E+00,  0.5585714E-01,  0.6172512E-01,  0.2872744E-01,  0.3299814E-01,  0.2275581E-01,  0.1529016E-01,  0.7465256E-02
2016-01-01 13:00:00,  0.4025048E+00,  0.3345097E+00,  0.6801055E-01,  0.3688716E+00,  0.3045997E+00,  0.6427849E-01,  0.5735642E-01,  0.2280113E-01,  0.3455633E-01,  0.7400529E-02,  0.5065881E-02,  0.2334639E-02
2016-01-01 14:00:00,  0.2677151E+00,  0.2211413E+00,  0.4657214E-01,  0.2799959E+00,  0.2368559E+00,  0.4320388E-01,  0.3194212E-01,  0.1109741E-01,  0.2084507E-01,  0.3375564E-01,  0.2736524E-01,  0.6391997E-02
2016-01-01 15:00:00,  0.6539690E-01,  0.4928069E-01,  0.1611709E-01,  0.3211094E-01,  0.2020943E-01,  0.1190267E-01,  0.9193225E-02,  0.2523154E-02,  0.6670107E-02,  0.8620381E-01,  0.6482612E-01,  0.2137786E-01
2016-01-01 16:00:00,  0.4636002E-01,  0.3820958E-01,  0.8149746E-02,  0.4588285E-01,  0.4043666E-01,  0.5438915E-02,  0.5288399E-02,  0.1602789E-02,  0.3685638E-02,  0.2835198E-01,  0.1957289E-01,  0.8779399E-02
2016-01-01 17:00:00,  0.4024373E-01,  0.3491599E-01,  0.5325532E-02,  0.6772415E-01,  0.6286980E-01,  0.4839919E-02,  0.4586224E-02,  0.1659521E-02,  0.2926596E-02,  0.4614139E-01,  0.4167658E-01,  0.4467891E-02
2016-01-01 18:00:00,  0.9908485E-01,  0.9373248E-01,  0.5361872E-02,  0.3234482E-01,  0.2633943E-01,  0.6008170E-02,  0.5705903E-02,  0.2141576E-02,  0.3564374E-02,  0.5745430E-01,  0.5236454E-01,  0.5083904E-02
2016-01-01 19:00:00,  0.1491400E+00,  0.1446176E+00,  0.4515240E-02,  0.6256839E-01,  0.5786839E-01,  0.4701576E-02,  0.1852495E-01,  0.1493746E-01,  0.3587682E-02,  0.1557493E-01,  0.1474540E-01,  0.8285660E-03
2016-01-01 20:00:00,  0.1334356E+00,  0.1247463E+00,  0.8672812E-02,  0.1229576E+00,  0.1143002E+00,  0.8661835E-02,  0.2223007E-01,  0.1625729E-01,  0.5973998E-02,  0.2154567E-02,  0.1701239E-02,  0.4530979E-03
2016-01-01 21:00:00,  0.7892825E-01,  0.7142600E-01,  0.7488412E-02,  0.6165551E-01,  0.5391929E-01,  0.7742704E-02,  0.1800797E-01,  0.1281919E-01,  0.5187792E-02,  0.1243384E-02,  0.8561951E-03,  0.3871254E-03
2016-01-01 22:00:00,  0.1185863E+00,  0.1072901E+00,  0.1130537E-01,  0.1146160E+00,  0.1047724E+00,  0.9855845E-02,  0.2552869E-01,  0.1765410E-01,  0.7874779E-02,  0.1246375E-02,  0.8089867E-03,  0.4373532E-03
2016-01-01 23:00:00,  0.1634251E+00,  0.1518169E+00,  0.1155925E-01,  0.1863437E+00,  0.1759765E+00,  0.1036517E-01,  0.2252698E-01,  0.1462029E-01,  0.7906830E-02,  0.1997922E-02,  0.1513260E-02,  0.4846901E-03
2016-01-02 00:00:00,  0.1154144E+00,  0.9945171E-01,  0.1596842E-01,  0.1183023E+00,  0.9807930E-01,  0.2022759E-01,  0.3837882E-01,  0.2498071E-01,  0.1339813E-01,  0.1844173E-02,  0.1360737E-02,  0.4834351E-03
2016-01-02 01:00:00,  0.7621652E-01,  0.6573146E-01,  0.1048574E-01,  0.1125399E+00,  0.1011000E+00,  0.1144009E-01,  0.2381877E-01,  0.1574216E-01,  0.8075978E-02,  0.7559029E-03,  0.3464278E-03,  0.4094690E-03
2016-01-02 02:00:00,  0.9095073E-01,  0.8478520E-01,  0.6158568E-02,  0.6200686E-01,  0.5556540E-01,  0.6444877E-02,  0.1411175E-01,  0.9661905E-02,  0.4449338E-02,  0.9514055E-03,  0.6171342E-03,  0.3341974E-03
2016-01-02 03:00:00,  0.7434639E-01,  0.6378680E-01,  0.1055785E-01,  0.4814279E-01,  0.3493927E-01,  0.1320206E-01,  0.1808876E-01,  0.9974861E-02,  0.8113785E-02,  0.2110950E-02,  0.1522258E-02,  0.5888175E-03
2016-01-02 04:00:00,  0.1150518E+00,  0.9587765E-01,  0.1917133E-01,  0.1580435E+00,  0.1360615E+00,  0.2196546E-01,  0.2767180E-01,  0.1405011E-01,  0.1362283E-01,  0.2333309E-02,  0.1629423E-02,  0.7036455E-03
2016-01-02 05:00:00,  0.7962676E-01,  0.6631879E-01,  0.1331456E-01,  0.7981421E-01,  0.6523847E-01,  0.1457161E-01,  0.2000554E-01,  0.9795170E-02,  0.1021007E-01,  0.2033194E-02,  0.1380314E-02,  0.6527829E-03
2016-01-02 06:00:00,  0.6232876E-01,  0.5334754E-01,  0.8967661E-02,  0.1215937E+00,  0.1122696E+00,  0.9321516E-02,  0.1807401E-01,  0.1166570E-01,  0.6407898E-02,  0.6231294E-02,  0.5688294E-02,  0.5424292E-03
2016-01-02 07:00:00,  0.8784740E-01,  0.7167489E-01,  0.1617143E-01,  0.7593530E-01,  0.5396642E-01,  0.2197299E-01,  0.2832781E-01,  0.1535338E-01,  0.1297461E-01,  0.2928970E-02,  0.2252448E-02,  0.6767258E-03
2016-01-02 08:00:00,  0.1817220E+00,  0.1311609E+00,  0.5056771E-01,  0.2041479E+00,  0.1418640E+00,  0.6228162E-01,  0.7755967E-01,  0.3774933E-01,  0.3980920E-01,  0.7011366E-02,  0.2485325E-02,  0.4526419E-02
2016-01-02 09:00:00,  0.1779907E+00,  0.1466076E+00,  0.3138436E-01,  0.1497148E+00,  0.9980304E-01,  0.4991851E-01,  0.5966138E-01,  0.3144138E-01,  0.2822060E-01,  0.1354805E-02,  0.7815368E-03,  0.5732901E-03
2016-01-02 10:00:00,  0.1563644E+00,  0.1259194E+00,  0.3044889E-01,  0.1793980E+00,  0.1396767E+00,  0.3973426E-01,  0.5399972E-01,  0.2961680E-01,  0.2438239E-01,  0.1913218E-02,  0.1249981E-02,  0.6633970E-03
2016-01-02 11:00:00,  0.2328935E+00,  0.1888116E+00,  0.4408027E-01,  0.2433670E+00,  0.1861207E+00,  0.5723776E-01,  0.8900712E-01,  0.5089001E-01,  0.3811577E-01,  0.2378596E-01,  0.2276243E-01,  0.1017560E-02
2016-01-02 12:00:00,  0.2623897E+00,  0.2144560E+00,  0.4793522E-01,  0.2123821E+00,  0.1487195E+00,  0.6366882E-01,  0.9614284E-01,  0.5624669E-01,  0.3989904E-01,  0.1643890E-02,  0.9335469E-03,  0.7104762E-03
2016-01-02 13:00:00,  0.1409413E+00,  0.1173796E+00,  0.2355377E-01,  0.1358041E+00,  0.1033724E+00,  0.3244347E-01,  0.4059287E-01,  0.2331150E-01,  0.1727962E-01,  0.1440932E-02,  0.8843432E-03,  0.5566762E-03
2016-01-02 14:00:00,  0.1221812E+00,  0.1063996E+00,  0.1577468E-01,  0.8634343E-01,  0.7032791E-01,  0.1600935E-01,  0.2625051E-01,  0.1544448E-01,  0.1080609E-01,  0.1320743E-02,  0.8096563E-03,  0.5111867E-03
2016-01-02 15:00:00,  0.1060350E+00,  0.9016046E-01,  0.1587721E-01,  0.1016831E+00,  0.8501482E-01,  0.1667303E-01,  0.2547860E-01,  0.1440823E-01,  0.1106988E-01,  0.3046726E-02,  0.2230202E-02,  0.8165085E-03
2016-01-02 16:00:00,  0.7816079E-01,  0.6833342E-01,  0.9826455E-02,  0.9916703E-01,  0.8729519E-01,  0.1187509E-01,  0.2444210E-01,  0.1493611E-01,  0.9506494E-02,  0.1380695E-02,  0.9295464E-03,  0.4511286E-03
2016-01-02 17:00:00,  0.1043755E+00,  0.9052992E-01,  0.1385744E-01,  0.5972214E-01,  0.4870743E-01,  0.1101611E-01,  0.2353534E-01,  0.1432730E-01,  0.9208372E-02,  0.2282299E-02,  0.1894697E-02,  0.3877162E-03
2016-01-02 18:00:00,  0.3907562E-01,  0.3739445E-01,  0.1682987E-02,  0.1587679E-01,  0.1440854E-01,  0.1469033E-02,  0.2948021E-02,  0.1929543E-02,  0.1018355E-02,  0.3627644E-02,  0.3209059E-02,  0.4185342E-03
2016-01-02 19:00:00,  0.1694100E+00,  0.1624247E+00,  0.6996858E-02,  0.3659664E-01,  0.2970735E-01,  0.6892442E-02,  0.6569783E-02,  0.2827708E-02,  0.3741917E-02,  0.1327460E-01,  0.1218239E-01,  0.1091045E-02
2016-01-02 20:00:00,  0.1833413E+00,  0.1390044E+00,  0.4433214E-01,  0.1133069E+00,  0.8010528E-01,  0.3320372E-01,  0.2585884E-01,  0.6704153E-02,  0.1915516E-01,  0.5004813E-01,  0.4836841E-01,  0.1661014E-02
